Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Answer Explanation
41,"रमन एक बिंदु से चलना शुरू करता है, और उत्तर की ओर 200 m चलता है, फिर वह बाएं मुड़ता है, और 300 m चलता है, फिर दाएं मुड़ता है, और 400 m चलता है, और फिर पुनः दाएं मुड़ता है, और 300 m चलता है। रमन आरंभ बिंदु से कितनी दूर है? (सभी मोड़ केवल 90 डिग्री वाले मोड़ हैं)",1400 m,600 m,700 m,200 m,Option B,रमन ने एक आयताकार पथ (rectangular path) बनाया। क्षैतिज दूरी (Horizontal distance) 300m - 300m = 0 हो गई। ऊर्ध्वाधर दूरी (Vertical distance) 200m + 400m = 600m होगी।
42,AIDS का पूर्णरूप क्या है?,Added Immune Deficient Syndrome,Artificial Immune Deficiency Syndrome,Aggravated Immune Deficient Syndrome,Acquired Immune Deficiency Syndrome,Option D,AIDS का सही पूर्ण रूप Acquired Immune Deficiency Syndrome है।
43,"न्यूलैंड के अष्टक नियम में, पहला तत्व ______ है, और अंतिम ज्ञात तत्व ______ है।","हाइड्रोजन, लैंथेनम","हीलियम, जिर्कोनियम","हाइड्रोजन, थोरियम","हाइड्रोजन, जिर्कोनियम",Option C,न्यूलैंड्स के अष्टक नियम (Newlands' Law of Octaves) में पहला तत्व हाइड्रोजन और अंतिम 56वां तत्व थोरियम था।
44,इस प्रश्न में एक कथन और उसके बाद दो निष्कर्ष दिए गए हैं। कथन: P ≤ Q < F = R > M ≥ B. निष्कर्ष: (I) R > P (II) F < B,केवल निष्कर्ष II सही है।,निष्कर्ष I और II दोनों सही हैं।,न तो निष्कर्ष I और न ही II सही है।,केवल निष्कर्ष I सही है।,Option D,"कथन से: P ≤ Q < R, इसलिए P < R (या R > P) सत्य है। F = R > M ≥ B, यहाँ F और B के बीच संबंध स्पष्ट नहीं है (opposing signs), इसलिए F < B गलत है।"
45,"दोतरफा यात्रा के दौरान गौरव की औसत चाल 15 km/h है। यदि वह जाते समय प्रति घंटे 20 km की दूरी तय करता है, तो लौटते समय उसकी चाल ज्ञात कीजिए।",10 km/h,11 km/h,15 km/h,12 km/h,Option D,औसत चाल का सूत्र = (2xy)/(x+y)। 15 = (2 * 20 * y) / (20 + y)। हल करने पर y = 12 km/h आता है।
46,"यदि समीकरण ax^2 + x + b = 0 के मूल बराबर हैं, तो निम्नलिखित में से कौन सा सत्य है?",ab = 1/4,b^2 > 4a,b^2 = 4a,b^2 < 4a,Option A,"मूल बराबर होने के लिए विविक्तकर (Discriminant), D = 0 होना चाहिए। यहाँ B=1, A=a, C=b है। D = B^2 - 4AC => 1^2 - 4(a)(b) = 0 => 1 = 4ab => ab = 1/4."
47,कशेरुकियों की यकृत कोशिकाओं में SER (Smooth Endoplasmic Reticulum) द्वारा कौन-सा महत्वपूर्ण कार्य किया जाता है?,औषधियों और विषों का निराविषीकरण,लिपिड का संश्लेषण,जटिल शर्कराओं का संश्लेषण,प्रोटीन का संश्लेषण,Option A,यकृत में SER विषहरण (detoxification) में महत्वपूर्ण भूमिका निभाता है।
48,"यदि x + y + z = 11 है, और xy + yz + zx = 42 है, तो x^2 + y^2 + z^2 का मान ज्ञात कीजिए।",41,43,37,39,Option C,सूत्र: (x+y+z)^2 = x^2+y^2+z^2 + 2(xy+yz+zx). मान रखने पर: (11)^2 = ? + 2(42) => 121 = ? + 84 => ? = 37.
49,"दिए गए वेन आरेख के आधार पर (जहाँ तीन वृत्त Medal winners, Gymnasts, और Girls को दर्शाते हैं), निम्नलिखित में से कौन सा कथन सही है?","उन जिमनास्टों की संख्या, जो पदक विजेता भी हैं, 34 है।","उन पदक विजेताओं की संख्या, जो लड़कियां भी हैं, 27 है।","उन लड़कियों की संख्या, जो न तो जिमनास्ट हैं, और न ही पदक विजेता हैं, 23 है।","उन लड़कियों की संख्या, जो जिमनास्ट भी हैं, 41 है।",Option B,"आरेख के अनुसार, सही कथन यह है कि पदक विजेता जो लड़कियां हैं उनकी संख्या 27 है।"
50,"यदि संख्याओं/प्रतीकों को निम्नलिखित शर्तों के अनुसार कूटबद्ध किया जाए (7=S, 5=D, E=M, %=U, &=T, 4=L, 8=A), तो 'E 7 5 % & 4 % 8' का कूट क्या होगा? शर्तें: (i) यदि दूसरा घटक विषम और अंतिम सम है, तो कोड बदलें। (ii) यदि तीसरा सम और पाँचवाँ प्रतीक है, तो कोड बदलें। (iii) यदि 5वाँ और 6ठा दोनों प्रतीक हैं, तो उन्हें 'R' कोड करें।",MADURRUS,MSDUTLUA,MADUTLUS,MATUDLUS,Option C,दी गई शर्तों को लागू करने पर सही कूट MADUTLUS प्राप्त होता है।